Pergunta,Resposta
O que é hoisting em JavaScript?,"Hoisting é o comportamento do JavaScript de mover declarações de variáveis e funções para o topo de seu escopo antes da execução do código.  É importante notar que apenas a *declaração* é movida, não a *inicialização* (atribuição de valor)."
Qual a diferença entre `null` e `undefined` em JavaScript?,"`null` é um valor de atribuição. Representa a ausência intencional de qualquer valor de objeto. `undefined` significa que uma variável foi declarada, mas não atribuída a nenhum valor."
O que é uma closure em JavaScript?,"Uma closure é a combinação de uma função e o ambiente léxico onde essa função foi declarada. Permite que uma função interna acesse variáveis da função externa, mesmo depois que a função externa já foi executada."
O que são template literals (template strings) em JavaScript e como são utilizados?,Template literals são strings que permitem expressões embutidas. São delimitadas com backticks (`) e as expressões são inseridas com `${expression}`.  Facilitam a interpolação de variáveis e strings multilinhas.
Qual a diferença entre `==` e `===` em JavaScript?,`==` é o operador de igualdade abstrata. Ele converte os operandos para o mesmo tipo antes de fazer a comparação. `===` é o operador de igualdade estrita. Ele compara os operandos sem conversão de tipo e retorna `true` apenas se os operandos forem do mesmo tipo e tiverem o mesmo valor.
O que é o objeto `arguments` em JavaScript?,O objeto `arguments` é um objeto array-like disponível dentro de todas as funções não-arrow. Ele contém os valores dos argumentos passados para a função.
O que é o método `bind()` em JavaScript e como ele funciona?,"`bind()` cria uma nova função que, quando chamada, tem seu `this` definido para o valor fornecido. Ele também permite passar argumentos predefinidos para a função original."
"O que é o conceito de ""truthy"" e ""falsy"" em JavaScript?","Em JavaScript, um valor ""truthy"" é um valor que é avaliado como `true` em um contexto booleano. Um valor ""falsy"" é um valor que é avaliado como `false` em um contexto booleano. Exemplos de falsy: `false`, `0`, `""""`, `null`, `undefined`, `NaN`. Todos os outros valores são truthy."
Explique o uso do operador `typeof` em JavaScript.,"O operador `typeof` retorna uma string indicando o tipo de dado de um operando. Por exemplo, `typeof 42` retorna `""number""`."
O que é o objeto `window` em JavaScript?,"Em navegadores, o objeto `window` representa a janela do navegador. É o objeto global mais alto na hierarquia."
O que é o método `apply()` em JavaScript e como ele funciona?,`apply()` chama uma função com um determinado valor `this` e argumentos fornecidos como um array (ou um objeto array-like).
Explique o que é o método `call()` em JavaScript e como ele difere de `apply()`.,"`call()` chama uma função com um determinado valor `this` e argumentos fornecidos individualmente. Diferente de `apply()`, que espera um array de argumentos."
"O que é o conceito de ""currying"" em JavaScript?","Currying é uma técnica em que uma função que recebe múltiplos argumentos é transformada em uma sequência de funções, cada uma recebendo um único argumento."
O que são arrow functions em JavaScript e quais suas características?,"Arrow functions são uma forma mais concisa de escrever funções em JavaScript. Elas têm uma sintaxe mais curta e não têm seu próprio `this`, `arguments`, `super` ou `new.target`."
O que são iterators em JavaScript?,"Iterators são objetos que definem uma sequência e, ao terminar, retornam um valor. Especificamente, eles implementam um método `next()` que retorna um objeto com duas propriedades: `value` (o próximo valor na sequência) e `done` (um booleano indicando se a sequência terminou)."
O que são generators em JavaScript?,"Generators são funções especiais que podem pausar a execução e retornar um valor, e depois retomar a execução de onde pararam. Eles usam a palavra-chave `yield` para retornar valores."
Explique o uso da palavra-chave `yield` em generators.,"`yield` pausa a execução da função generator e retorna o valor especificado.  Quando o generator é retomado, a execução continua do ponto após o `yield`."
O que é destructuring em JavaScript?,Destructuring é uma expressão JavaScript que torna possível extrair dados de arrays ou objetos em variáveis distintas.
O que são rest parameters em JavaScript?,Rest parameters permitem que uma função aceite um número indefinido de argumentos como um array. Eles são representados por três pontos (`...`) seguidos pelo nome do array.
O que é spread syntax em JavaScript?,Spread syntax permite que um iterável (como um array ou string) seja expandido em locais onde zero ou mais argumentos (para chamadas de função) ou elementos (para literais de array) são esperados. É representado por três pontos (`...`).
"Qual a diferença entre `var`, `let` e `const` em JavaScript?","`var` tem escopo de função ou global. `let` tem escopo de bloco. `const` também tem escopo de bloco, mas deve ser inicializada com um valor e não pode ser reatribuída."
O que é um bloco em JavaScript e como é definido?,Um bloco é um grupo de zero ou mais declarações dentro de chaves `{}`. Ele define um escopo para variáveis declaradas com `let` ou `const`.
O que são higher-order functions em JavaScript?,Higher-order functions são funções que recebem outras funções como argumentos ou retornam outras funções como resultados.
O que são callbacks em JavaScript?,Callbacks são funções que são passadas como argumentos para outras funções e são executadas quando um determinado evento ocorre ou uma operação é concluída.
O que é o método `map()` em JavaScript e como ele funciona?,`map()` cria um novo array com os resultados da chamada de uma função fornecida em cada elemento do array chamador.
O que é o método `filter()` em JavaScript e como ele funciona?,`filter()` cria um novo array com todos os elementos que passam no teste implementado pela função fornecida.
O que é o método `reduce()` em JavaScript e como ele funciona?,`reduce()` aplica uma função a um acumulador e a cada elemento de um array (da esquerda para a direita) para reduzi-lo a um único valor.
O que é o método `forEach()` em JavaScript e como ele funciona?,"`forEach()` executa uma função fornecida uma vez para cada elemento do array. Diferente de `map()`, ele não retorna um novo array."
O que é o método `sort()` em JavaScript e como ele funciona?,"`sort()` ordena os elementos de um array no local e retorna o array. A ordem de classificação padrão é construída com a conversão dos elementos em strings e, em seguida, comparando suas sequências de valores de unidades de código UTF-16."
O que são Promises em JavaScript?,Promises são objetos que representam a eventual conclusão (ou falha) de uma operação assíncrona e seu valor resultante.
Quais os estados possíveis de uma Promise em JavaScript?,"Os estados de uma Promise são: `pending` (pendente), `fulfilled` (realizada) e `rejected` (rejeitada)."
O que são as palavras-chave `async` e `await` em JavaScript?,`async` é usado para declarar uma função assíncrona. `await` é usado dentro de uma função assíncrona para pausar a execução até que uma Promise seja resolvida ou rejeitada.
O que é o método `then()` em JavaScript e como ele é usado com Promises?,`then()` é usado para lidar com o resultado de uma Promise que foi resolvida (fulfilled). Ele recebe uma função de callback que será executada com o valor resultante da Promise.
O que é o método `catch()` em JavaScript e como ele é usado com Promises?,`catch()` é usado para lidar com erros ou rejeições de uma Promise. Ele recebe uma função de callback que será executada se a Promise for rejeitada.
O que é o método `finally()` em JavaScript e como ele é usado com Promises?,"`finally()` permite executar código após uma Promise ser resolvida ou rejeitada, independentemente do resultado."
"O que é o conceito de ""event loop"" em JavaScript?",O event loop é um mecanismo que permite que o JavaScript lide com operações assíncronas sem bloquear o thread principal. Ele monitora a pilha de chamadas e a fila de tarefas e move tarefas da fila para a pilha quando a pilha está vazia.
"O que é o ""call stack"" em JavaScript?",O call stack é uma estrutura de dados que registra onde o programa está durante a execução. Ele rastreia as chamadas de função e garante que as funções sejam executadas na ordem correta.
"O que é o ""task queue"" em JavaScript?",O task queue é uma fila que contém as tarefas assíncronas que estão prontas para serem executadas. Essas tarefas são adicionadas à pilha de chamadas pelo event loop quando a pilha está vazia.
O que são eventos em JavaScript?,"Eventos são ações ou ocorrências que acontecem no navegador, como um clique do mouse, um pressionamento de tecla ou o carregamento de uma página."
Como adicionar um event listener a um elemento em JavaScript?,"Usa-se o método `addEventListener()` do objeto do elemento. Por exemplo: `element.addEventListener('click', function() { ... });`"
O que é o objeto `event` em JavaScript?,O objeto `event` é um objeto que contém informações sobre o evento que ocorreu. Ele é passado como argumento para a função de callback associada ao evento.
O que é event bubbling em JavaScript?,Event bubbling é o processo em que um evento disparado em um elemento filho se propaga para seus elementos pais na árvore DOM.
O que é event capturing em JavaScript?,Event capturing é o oposto de event bubbling.  O evento é primeiro capturado pelo elemento mais externo e propagado para o elemento alvo.
Como prevenir o comportamento padrão de um evento em JavaScript?,Usa-se o método `preventDefault()` do objeto `event`. Por exemplo: `event.preventDefault();`
Como interromper a propagação de um evento em JavaScript?,Usa-se o método `stopPropagation()` do objeto `event`. Por exemplo: `event.stopPropagation();`
O que é o DOM (Document Object Model)?,"O DOM é uma representação estruturada dos elementos HTML em uma página da web como objetos em uma árvore.  Ele permite que o JavaScript acesse e manipule o conteúdo, a estrutura e o estilo da página."
Como selecionar um elemento HTML no DOM usando JavaScript?,"Pode-se usar métodos como `document.getElementById()`, `document.querySelector()`, `document.querySelectorAll()`, `document.getElementsByClassName()`, `document.getElementsByTagName()`."
Como modificar o conteúdo de um elemento HTML no DOM usando JavaScript?,Pode-se usar a propriedade `textContent` ou `innerHTML` do objeto do elemento.
Como adicionar um novo elemento HTML ao DOM usando JavaScript?,"Cria-se o elemento usando `document.createElement()`, define suas propriedades e, em seguida, usa métodos como `appendChild()` ou `insertBefore()` para adicioná-lo ao DOM."
Como remover um elemento HTML do DOM usando JavaScript?,Usa-se o método `removeChild()` do elemento pai.
O que são atributos de um elemento HTML?,"Atributos são propriedades que fornecem informações adicionais sobre um elemento HTML. Por exemplo, o atributo `src` de uma tag `<img>` especifica o caminho da imagem."
Como acessar e modificar os atributos de um elemento HTML usando JavaScript?,Usa-se os métodos `getAttribute()` e `setAttribute()` do objeto do elemento.
O que são classes CSS e como elas são usadas com JavaScript?,"Classes CSS são identificadores que podem ser usados para aplicar estilos a múltiplos elementos HTML. JavaScript pode ser usado para adicionar, remover ou verificar a existência de classes em elementos usando a propriedade `classList`."
Como adicionar uma classe CSS a um elemento HTML usando JavaScript?,Usa-se o método `classList.add()` do objeto do elemento.
Como remover uma classe CSS de um elemento HTML usando JavaScript?,Usa-se o método `classList.remove()` do objeto do elemento.
Como verificar se um elemento HTML possui uma determinada classe CSS usando JavaScript?,Usa-se o método `classList.contains()` do objeto do elemento.
O que é o objeto `console` em JavaScript?,"O objeto `console` fornece acesso ao console de depuração do navegador (ou outro ambiente de execução). Ele é usado para registrar mensagens, avisos e erros."
Quais são alguns dos métodos comuns do objeto `console` em JavaScript?,"Alguns métodos comuns são `console.log()`, `console.warn()`, `console.error()`, `console.table()`, `console.time()`, `console.timeEnd()`."
O que é o operador ternário em JavaScript?,O operador ternário é uma forma concisa de escrever uma instrução `if...else`. Sua sintaxe é `condição ? expressão_se_verdadeira : expressão_se_falsa`.
O que é o operador de coalescência nula (nullish coalescing operator) `??` em JavaScript?,"O operador de coalescência nula retorna o operando do lado direito quando o operando do lado esquerdo é `null` ou `undefined`, caso contrário, retorna o operando do lado esquerdo."
O que é o operador de encadeamento opcional (optional chaining operator) `?.` em JavaScript?,"O operador de encadeamento opcional permite acessar propriedades aninhadas de um objeto sem verificar explicitamente se cada nível existe. Se uma propriedade no caminho for `null` ou `undefined`, o operador retorna `undefined` em vez de lançar um erro."
O que é o método `Object.keys()` em JavaScript?,`Object.keys()` retorna um array contendo os nomes de todas as propriedades enumeráveis de um determinado objeto.
O que é o método `Object.values()` em JavaScript?,`Object.values()` retorna um array contendo os valores de todas as propriedades enumeráveis de um determinado objeto.
O que é o método `Object.entries()` em JavaScript?,"`Object.entries()` retorna um array de arrays, onde cada subarray contém o nome e o valor de cada propriedade enumerável de um determinado objeto."
O que é o método `Object.assign()` em JavaScript?,`Object.assign()` copia os valores de todas as propriedades enumeráveis de um ou mais objetos de origem para um objeto de destino. Ele retorna o objeto de destino.
O que é o método `JSON.stringify()` em JavaScript?,`JSON.stringify()` converte um objeto JavaScript em uma string JSON.
O que é o método `JSON.parse()` em JavaScript?,`JSON.parse()` converte uma string JSON em um objeto JavaScript.
O que são módulos em JavaScript (ES Modules)?,"Módulos permitem dividir o código em arquivos separados, tornando-o mais organizado e reutilizável. Eles usam as palavras-chave `import` e `export` para compartilhar código entre arquivos."
Como exportar uma variável ou função de um módulo em JavaScript?,Usa-se a palavra-chave `export`. Por exemplo: `export const minhaVariavel = 42;` ou `export function minhaFuncao() { ... }`
