Pergunta,Resposta
Qual a diferença entre `undefined` e `null` em JavaScript?,"`undefined` significa que uma variável foi declarada mas ainda não recebeu um valor. `null` é um valor de atribuição que representa a ausência intencional de qualquer valor de objeto ou primitivo. `undefined` geralmente indica um estado inicial ou um erro, enquanto `null` é uma atribuição explícita."
Como funciona o operador `typeof` em JavaScript e quais os tipos que ele pode retornar?,"O operador `typeof` retorna uma string indicando o tipo de dado de um operando.  Os tipos que ele pode retornar incluem: ""undefined"", ""boolean"", ""number"", ""string"", ""symbol"", ""bigint"", ""function"", e ""object"". Note que `typeof null` retorna ""object"" (um bug histórico)."
O que é hoisting em JavaScript e como ele afeta a declaração de variáveis e funções?,"Hoisting é o comportamento do JavaScript de mover declarações de variáveis e funções para o topo de seus respectivos escopos durante a fase de compilação. Isso significa que você pode usar uma variável ou função *antes* de sua declaração no código, mas apenas a *declaração* é movida, não a inicialização. Variáveis declaradas com `var` são hoisted com o valor `undefined`, enquanto `let` e `const` não são inicializadas e acessar antes da declaração resulta em um `ReferenceError`. Funções declaradas usando a sintaxe `function declaration` são completamente hoisted, enquanto `function expression` estão sujeitas ao mesmo hoisting que as variáveis."
Explique o conceito de closure em JavaScript.,"Um closure é a capacidade de uma função lembrar e acessar variáveis de seu escopo léxico, mesmo quando a função é executada fora desse escopo. Em outras palavras, uma função interna tem acesso às variáveis da função externa onde foi definida, mesmo depois que a função externa terminou de executar."
O que é o objeto `arguments` em JavaScript e como ele pode ser usado?,"Dentro de uma função, `arguments` é um objeto semelhante a um array que contém todos os argumentos passados para a função. Ele permite acessar argumentos por índice (por exemplo, `arguments[0]`, `arguments[1]`) e tem uma propriedade `length` indicando o número de argumentos. No entanto, `arguments` não é um array verdadeiro e não possui os métodos de array (como `forEach`, `map`, etc.) diretamente.  Em funções arrow, `arguments` não está disponível."
Qual a diferença entre `==` e `===` em JavaScript?,"`==` é o operador de igualdade abstrata, que realiza a conversão de tipo antes de comparar os valores. `===` é o operador de igualdade estrita, que compara os valores sem conversão de tipo.  Portanto, `===` é geralmente recomendado para evitar comportamentos inesperados devido à coerção de tipo."
Como você pode criar um novo objeto em JavaScript usando a sintaxe de literal de objeto?,"A sintaxe de literal de objeto é usar chaves `{}` para definir um objeto e pares chave-valor dentro das chaves. Por exemplo: `let person = { name: ""John"", age: 30 };`."
"Explique o conceito de ""truthy"" e ""falsy"" em JavaScript.","Em JavaScript, ""truthy"" e ""falsy"" são valores que, quando avaliados em um contexto booleano (por exemplo, em uma condição `if`), se comportam como `true` ou `false`, respectivamente. Valores falsy incluem `false`, `0`, `""""` (string vazia), `null`, `undefined`, e `NaN`. Todos os outros valores são considerados truthy."
O que são funções de primeira classe em JavaScript?,"Funções de primeira classe significam que as funções podem ser tratadas como qualquer outra variável. Elas podem ser atribuídas a variáveis, passadas como argumentos para outras funções e retornadas como valores de outras funções."
Como você pode criar um array em JavaScript?,"Você pode criar um array usando a sintaxe de literal de array `[]`, por exemplo, `let myArray = [1, 2, 3];`, ou usando o construtor `new Array()`, por exemplo, `let myArray = new Array(1, 2, 3);`. A forma literal é geralmente preferida."
O que é o método `map` em arrays JavaScript e como ele funciona?,O método `map` cria um novo array com os resultados da chamada de uma função fornecida em cada elemento do array original. Ele não modifica o array original.
Como você pode adicionar um elemento ao final de um array em JavaScript?,Você pode usar o método `push()` para adicionar um elemento ao final de um array. Por exemplo: `myArray.push(4);`.
O que é o método `filter` em arrays JavaScript e como ele funciona?,O método `filter` cria um novo array com todos os elementos que passam no teste implementado pela função fornecida. Ele não modifica o array original.
Como você pode remover o último elemento de um array em JavaScript?,Você pode usar o método `pop()` para remover o último elemento de um array. O método `pop()` retorna o elemento removido.
