Pergunta,Resposta
Qual a diferença entre `null` e `undefined` em JavaScript?,"`null` é um valor de atribuição. Representa a ausência intencional de um valor. `undefined` significa que uma variável foi declarada, mas não recebeu nenhum valor."
O que é o conceito de hoisting em JavaScript?,"Hoisting é o comportamento do JavaScript de mover declarações de variáveis (com `var`) e funções para o topo do seu escopo antes da execução do código. Variáveis declaradas com `let` e `const` também sofrem hoisting, mas não são inicializadas."
Como você impede que o padrão de evento aconteça em JavaScript?,Usando o método `event.preventDefault()` dentro da função de tratamento do evento.
Qual a diferença entre `==` e `===` em JavaScript?,`==` compara valores após a conversão de tipo (se necessário). `===` compara valores e tipos de dados sem conversão de tipo.
O que é uma closure em JavaScript?,"Uma closure é a capacidade de uma função em JavaScript de ""lembrar"" o ambiente léxico em que foi criada, mesmo depois que a função pai já terminou de executar."
Como você pode verificar se uma variável é um array em JavaScript?,Usando `Array.isArray(variavel)`.
"Qual a diferença entre `var`, `let` e `const` na declaração de variáveis?","`var` tem escopo de função ou global, `let` e `const` têm escopo de bloco. `const` também exige que a variável seja inicializada e não pode ser reatribuída depois."
O que é o operador ternário em JavaScript?,É uma forma abreviada de escrever uma instrução `if...else`. Sua sintaxe é: `condição ? expressão_se_verdadeiro : expressão_se_falso`.
Como você itera sobre as propriedades de um objeto em JavaScript?,Usando um loop `for...in`.
O que é o método `map()` em arrays?,`map()` cria um novo array com os resultados da chamada de uma função fornecida para cada elemento no array original.
Qual a função do método `reduce()` em arrays?,`reduce()` aplica uma função a um acumulador e a cada elemento do array (da esquerda para a direita) para reduzi-lo a um único valor.
Como você pode criar um objeto em JavaScript?,Usando a notação literal de objeto `{}` ou usando o construtor `new Object()`.
O que é o método `filter()` em arrays?,`filter()` cria um novo array com todos os elementos que passam no teste implementado pela função fornecida.
Como você pode remover elementos duplicados de um array em JavaScript?,"Usando `[...new Set(array)]` ou `array.filter((item, index) => array.indexOf(item) === index)`."
O que é o método `find()` em arrays?,"`find()` retorna o valor do primeiro elemento no array que satisfaz a função de teste fornecida. Caso contrário, retorna `undefined`."
"Qual a diferença entre `call()`, `apply()` e `bind()` em JavaScript?","`call()` e `apply()` invocam uma função com um determinado valor `this` e argumentos (separados por vírgula em `call()` e em um array em `apply()`). `bind()` retorna uma nova função com o valor `this` especificado, sem invocar a função original imediatamente."
O que é o uso de template literals (template strings) em JavaScript?,Template literals (usando crases ``) permitem a interpolação de strings e multilinhas de forma mais legível.
Como você pode converter uma string em um número em JavaScript?,"Usando `parseInt()`, `parseFloat()` ou o operador unário `+`."
O que é o conceito de event bubbling em JavaScript?,Event bubbling é quando um evento disparado em um elemento HTML também se propaga para seus elementos pai.
