Perguntas,deepseek-r1:1.5b,Idioma,deepseek-r1:7b,Idioma,deepseek-r1:8b,Idioma,deepseek-r1:14b,Idioma,mistral-nemo:12b,Idioma,mistral:7b,Idioma,phi3:3.8b,Idioma,phi3:14b,Idioma,phi4:14b,Idioma,gemma2:2b,Idioma,gemma2:9b,Idioma
1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
4,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
6,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
7,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
8,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
9,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1
10,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1
11,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1
12,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
13,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
14,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
15,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
